region,Timeframe,Date,type,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
Northern New England,Weekly,2/23/2020,conventional,1.19,598681.96,12277.93,443292.69,157.3,142954.04,41758.14,98402.57,2793.33
Orlando,Weekly,2/23/2020,conventional,1.01,578904.85,219485.86,13960.19,83.19,345375.61,137147.23,208218.38,10
Philadelphia,Weekly,2/23/2020,conventional,1.18,475268.67,29388.99,206045.18,432.24,239402.26,175209.23,59378.59,4814.44
Phoenix/Tucson,Weekly,2/23/2020,conventional,0.67,1547087.17,469399.26,233420.12,4148.68,840119.11,207999.46,631094.77,1024.88
Pittsburgh,Weekly,2/23/2020,conventional,1.26,119223.93,41200.67,7258.95,261.02,70503.29,31956.16,38547.13,0
Plains,Weekly,2/23/2020,conventional,1.04,2254926.87,938824.59,483873.55,2545.25,829683.48,624155.41,147789.45,57738.62
Portland,Weekly,2/23/2020,conventional,1.02,897227.15,75040.87,119947.32,2286.73,699952.23,384599.53,297887.37,17465.33
Raleigh/Greensboro,Weekly,2/23/2020,conventional,1.08,438975.4,188771.05,72200.88,2932.76,175070.71,102435.52,72631.86,3.33
Richmond/Norfolk,Weekly,2/23/2020,conventional,0.89,361827.36,116719.29,66572.49,791.24,177744.34,137784.31,34663.47,5296.56
Roanoke,Weekly,2/23/2020,conventional,0.91,210979.64,70247.73,25298.16,73.53,115360.22,79345.52,34693.99,1320.71
Sacramento,Weekly,2/23/2020,conventional,1.31,509140.32,161031.09,171833.78,1454.59,174820.86,106290.48,67728.16,802.22
San Diego,Weekly,2/23/2020,conventional,0.94,807001.48,114073.39,21421.55,9526.66,661979.88,428742.81,227276.92,5960.15
San Francisco,Weekly,2/23/2020,conventional,1.49,899133.18,228355.64,234499.28,3794.48,432483.78,164487.81,265885.46,2110.51
Seattle,Weekly,2/23/2020,conventional,1.31,645809.33,82607.79,92127.91,242.59,470831.04,174406.81,295761.9,662.33
South Carolina,Weekly,2/23/2020,conventional,1,512651.79,226394.67,47041.1,1003.42,238212.6,169119.14,69064.83,28.63
South Central,Weekly,2/23/2020,conventional,0.78,7559441.52,3119620.26,868623.68,84432.55,3486765.03,1785539.19,1615775.25,85450.59
Southeast,Weekly,2/23/2020,conventional,0.99,5600716.01,2394018.09,236900.55,2806.45,2966990.92,1453101.74,1507105.41,6783.77
Spokane,Weekly,2/23/2020,conventional,1.14,120926.71,20639.93,13937.26,29.78,86319.74,35890.33,50302.08,127.33
St. Louis,Weekly,2/23/2020,conventional,1.25,187602.81,78880.84,11300.3,184.07,97237.6,84272.58,1540.38,11424.64
Syracuse,Weekly,2/23/2020,conventional,1.21,92988.98,3598.48,48640.36,10.79,40739.35,30280,8774.91,1684.44
Tampa,Weekly,2/23/2020,conventional,0.97,634028.4,234894.8,20264.99,336.69,378531.92,111673.37,266848.55,10
Total U.S.,Weekly,2/23/2020,conventional,1.01,45009239.58,12700928.54,7811581.19,685823.58,23810906.27,13227463.27,9952406.07,631036.93
West,Weekly,2/23/2020,conventional,0.95,8436094.08,1837050.37,1061907.77,35523.38,5501612.56,2220729.96,3198687.31,82195.29
West Tex/New Mexico,Weekly,2/23/2020,conventional,0.85,944378.31,372868.93,86089.28,46450.94,438969.16,246123.67,191861.8,983.69
Albany,Weekly,2/23/2020,organic,1.5,2755.25,34.59,294.91,0,2425.75,1177.58,1248.17,0
Atlanta,Weekly,2/23/2020,organic,1.3,27860.42,103.26,3287.22,0,24469.94,15780.07,8689.87,0
Baltimore/Washington,Weekly,2/23/2020,organic,1.28,49781.47,213.56,3447.9,14.56,46105.45,45890.73,214.72,0
Boise,Weekly,2/23/2020,organic,1.66,4378.32,0,585.22,0,3793.1,1564.31,2228.79,0
Boston,Weekly,2/23/2020,organic,1.65,26087.89,137.35,1731.78,0,24218.76,19056.32,5162.44,0
Buffalo/Rochester,Weekly,2/23/2020,organic,1.1,16699.79,358.97,168.78,0,16172.04,9948.46,6223.58,0
California,Weekly,2/23/2020,organic,1.71,330011.38,33757.95,25311.99,1.63,270939.81,251455.37,19484.44,0
Charlotte,Weekly,2/23/2020,organic,1.51,15863.61,191.81,3384.93,53.37,12233.5,4048.54,8184.96,0
Chicago,Weekly,2/23/2020,organic,1.48,43078.54,795.28,5030.26,0,37253,36820.88,432.12,0
Cincinnati/Dayton,Weekly,2/23/2020,organic,1.06,31825.49,98.3,2069.23,0,29657.96,26182.96,3475,0
Columbus,Weekly,2/23/2020,organic,1.02,33227.01,504.35,779.97,0,31942.69,28737.94,3204.75,0
Dallas/Ft. Worth,Weekly,2/23/2020,organic,1.26,35129.45,929.67,167.59,1004.75,33027.44,23229.38,9798.06,0
Denver,Weekly,2/23/2020,organic,1.57,35935.81,3010.33,1247.84,0,31677.64,31559.89,117.75,0
Detroit,Weekly,2/23/2020,organic,0.85,50360.72,362.77,1916.1,0,48073.01,45002.45,3070.56,0
Grand Rapids,Weekly,2/23/2020,organic,1.2,9106.98,137.05,917.5,0,8052.43,8052.43,0,0
Great Lakes,Weekly,2/23/2020,organic,1.04,364393.92,5917.77,18432.77,6.26,339988.16,315204.97,24783.19,0
Harrisburg/Scranton,Weekly,2/23/2020,organic,1,19605.94,410.4,356.55,0,18838.99,18834.14,4.85,0
Hartford/Springfield,Weekly,2/23/2020,organic,2.11,11071.26,291.28,5750.24,0,5029.74,4989.08,40.66,0
Houston,Weekly,2/23/2020,organic,1.37,16004.69,283.86,29.36,0,15691.47,15691.47,0,0
Indianapolis,Weekly,2/23/2020,organic,0.84,31427.88,191.78,907.83,0,30328.27,26449.87,3878.4,0
Jacksonville,Weekly,2/23/2020,organic,1.2,4239.28,32.28,220.57,0,3986.43,3972.98,13.45,0
Las Vegas,Weekly,2/23/2020,organic,1.56,13084.26,1729.19,522.84,0,10832.23,9379.9,1452.33,0
Los Angeles,Weekly,2/23/2020,organic,1.55,145429.78,14161.46,1833.2,1.64,129433.48,116780.84,12652.64,0
Louisville,Weekly,2/23/2020,organic,1.13,6232.27,0,811.08,0,5421.19,4085.48,1335.71,0
Miami/Ft. Lauderdale,Weekly,2/23/2020,organic,1.16,13396.75,465.88,0,0,12930.87,12930.87,0,0
Midsouth,Weekly,2/23/2020,organic,1.38,215342.83,2752.42,25178.86,356.36,187055.19,152947.16,34108.03,0
Nashville,Weekly,2/23/2020,organic,1.43,8874.84,31.68,1295.5,0,7547.66,1967.6,5580.06,0
New Orleans/Mobile,Weekly,2/23/2020,organic,1.2,5675.6,234.89,0,0,5440.71,4675.56,765.15,0
New York,Weekly,2/23/2020,organic,1.73,64224.77,12479.54,11269.18,80.76,40395.29,37806.97,2584.33,3.99
Northeast,Weekly,2/23/2020,organic,1.49,245585.06,19123.45,26161.51,70.99,200229.11,163076.58,37149.02,3.51
Northern New England,Weekly,2/23/2020,organic,1.58,26148.91,81.33,486.11,0,25581.47,12131.78,13449.69,0
Orlando,Weekly,2/23/2020,organic,1.13,10490.36,76.74,0,0,10413.62,10413.62,0,0
Philadelphia,Weekly,2/23/2020,organic,1.46,27722.83,1871.18,3738.54,0,22113.11,19773.24,2339.87,0
Phoenix/Tucson,Weekly,2/23/2020,organic,1.47,27420.71,3715.63,879.99,0,22825.09,19114.34,3710.75,0
Pittsburgh,Weekly,2/23/2020,organic,1.22,17647.19,1370.06,6.68,0,16270.45,16270.45,0,0
Plains,Weekly,2/23/2020,organic,1.23,87115.3,23391.18,6201.29,4.32,57518.51,47047.8,10470.71,0
Portland,Weekly,2/23/2020,organic,1.66,48059.05,176.73,8090.32,3.48,39788.52,19554.96,20233.56,0
Raleigh/Greensboro,Weekly,2/23/2020,organic,1.85,19130.62,1074.87,3172.9,167.37,14715.48,11892.03,2823.45,0
Richmond/Norfolk,Weekly,2/23/2020,organic,1.31,18556.66,6.65,1736.85,2.66,16810.5,15547.1,1263.4,0
Roanoke,Weekly,2/23/2020,organic,1.13,12891.99,21.51,1172.05,0,11698.43,8821.09,2877.34,0
Sacramento,Weekly,2/23/2020,organic,1.74,19064.89,2924.27,3819.91,0,12320.71,12314.43,6.28,0
San Diego,Weekly,2/23/2020,organic,1.62,33326.76,877.33,1078.28,0,31371.15,26834.44,4536.71,0
San Francisco,Weekly,2/23/2020,organic,2.03,62746.36,8835.59,7960.51,0,45950.26,45897.75,52.51,0
Seattle,Weekly,2/23/2020,organic,1.55,108460.1,416.31,18165.99,58.81,89818.99,8114.49,81631.73,72.77
South Carolina,Weekly,2/23/2020,organic,1.65,16659.71,504.81,3111.41,95.73,12947.76,4437.28,8510.48,0
South Central,Weekly,2/23/2020,organic,1.32,138677.23,2992.23,2334.5,5275.53,128074.97,101845.5,26229.47,0
Southeast,Weekly,2/23/2020,organic,1.28,133372.42,1758.36,10387.69,108.18,121118.19,95971.05,25147.14,0
Spokane,Weekly,2/23/2020,organic,1.81,5167.17,15.13,652.96,0,4499.08,2726.14,1772.94,0
St. Louis,Weekly,2/23/2020,organic,1.24,23426.6,14609.59,2804.6,8.56,6003.85,3318.99,2684.86,0
Syracuse,Weekly,2/23/2020,organic,1.21,5302.14,81.8,113.14,0,5107.2,2757.44,2349.76,0
Tampa,Weekly,2/23/2020,organic,1.14,9516.62,162.88,0,0,9353.74,9353.74,0,0
Total U.S.,Weekly,2/23/2020,organic,1.41,1871904.09,105003.23,150837.39,6789.04,1609225.47,1298135.07,311012.52,77.88
West,Weekly,2/23/2020,organic,1.58,357405.93,15309.87,36828.78,965.76,304301.52,170586.64,133640.51,74.37
West Tex/New Mexico,Weekly,2/23/2020,organic,1.5,23908.87,1062.61,633.13,2485.54,19727.59,17774.63,1952.96,0
Albany,Weekly,3/1/2020,conventional,1.24,116416.8,11008.46,81542.65,80.23,23785.46,16697.49,5533.88,1554.09
Atlanta,Weekly,3/1/2020,conventional,1.04,760479.78,307733.92,30567,73.24,422105.62,359261.45,62664.75,179.42
Baltimore/Washington,Weekly,3/1/2020,conventional,1.26,1059786.04,125931.42,487310.14,5410.48,441134,245125.44,191022.3,4986.26
Boise,Weekly,3/1/2020,conventional,1.12,130061.11,37536.83,5845.14,1043.19,85635.95,49793.8,25158.79,10683.36
Boston,Weekly,3/1/2020,conventional,1.4,734100.47,24190.87,466174.18,645.25,243090.17,181780.48,57329.69,3980
Buffalo/Rochester,Weekly,3/1/2020,conventional,1.22,198992.12,16696.56,63545.69,212.73,118537.14,98920.59,17113.22,2503.33
California,Weekly,3/1/2020,conventional,1.27,6169881.84,1775466.81,783024.37,130871.09,3480519.57,1874027.23,1439945.3,166547.04
Charlotte,Weekly,3/1/2020,conventional,0.97,371896.41,127039.43,103053.11,6350.84,135453.03,93362.67,42081.47,8.89
Chicago,Weekly,3/1/2020,conventional,1.38,698076.03,103815.8,159985.09,39462.19,394812.95,171713.2,223024.17,75.58
Cincinnati/Dayton,Weekly,3/1/2020,conventional,0.92,359194.73,85076.38,12388,7741.46,253988.89,228323.58,20289.11,5376.2
Columbus,Weekly,3/1/2020,conventional,0.87,270229.7,73334.97,11112.27,1530.15,184252.31,159782.96,23493.74,975.61
Dallas/Ft. Worth,Weekly,3/1/2020,conventional,0.8,1728694.75,719841.7,167285.93,6566.04,835001.08,544589.74,290035.54,375.8
Denver,Weekly,3/1/2020,conventional,0.97,1131613.12,197944.51,147962.96,3381.09,782324.56,189720.71,577145.1,15458.75
Detroit,Weekly,3/1/2020,conventional,1,520239.12,104175.45,34610.9,36491.84,344960.93,310865.9,29665.28,4429.75
Grand Rapids,Weekly,3/1/2020,conventional,1.72,133344.95,6257.57,44458.11,36843.15,45786.12,31893.52,6504.63,7387.97
Great Lakes,Weekly,3/1/2020,conventional,1.08,4224206.96,914676.22,571615.69,192646.01,2545269.04,1852774.21,649477.2,43017.63
Harrisburg/Scranton,Weekly,3/1/2020,conventional,1.18,333975.56,91629.02,125798.09,136.69,116411.76,98085.7,14289.14,4036.92
Hartford/Springfield,Weekly,3/1/2020,conventional,1.48,340980.27,12583.39,249717.89,251.06,78427.93,61352.69,14600.93,2474.31
Houston,Weekly,3/1/2020,conventional,0.7,1530534.01,648075.84,173220.76,409.67,708827.74,150075.53,549596.23,9155.98
Indianapolis,Weekly,3/1/2020,conventional,0.95,266776.18,80779.38,25990.31,3215.39,156791.1,148372.8,5986.36,2431.94
Jacksonville,Weekly,3/1/2020,conventional,1.21,235537.82,90053.3,9572.77,256.6,135655.15,45099.05,90556.1,0
Las Vegas,Weekly,3/1/2020,conventional,1.12,302824.73,62481.18,31211.48,31.51,209100.56,87354.4,121619.81,126.35
Los Angeles,Weekly,3/1/2020,conventional,1.19,2831311.5,777870.36,99355.92,97657.32,1856427.9,1078550.1,649685.21,128192.59
Louisville,Weekly,3/1/2020,conventional,1.06,123527.39,33278.41,9699.71,69.61,80479.66,59492.2,20975.4,12.06
Miami/Ft. Lauderdale,Weekly,3/1/2020,conventional,1.21,988464.5,416981.19,41285.9,282.47,529914.94,158000.33,371721.28,193.33
Midsouth,Weekly,3/1/2020,conventional,1.05,4337792.67,1231988.31,1096390.17,26915.15,1982499.04,1370039.56,590365.83,22093.65
Nashville,Weekly,3/1/2020,conventional,0.92,301015.16,111438.35,6354.13,13.35,183209.33,154475.64,28721.99,11.7
New Orleans/Mobile,Weekly,3/1/2020,conventional,0.93,358790.72,177419.53,15845.28,12.88,165513.03,115459.66,42845.72,7207.65
New York,Weekly,3/1/2020,conventional,1.53,1670324.44,56623.35,973026.57,4190.36,636484.16,480147.36,147867.18,8469.62
Northeast,Weekly,3/1/2020,conventional,1.4,5061925.94,393349.08,2862927.62,7410.53,1798238.71,1357754.53,400299.29,40184.89
Northern New England,Weekly,3/1/2020,conventional,1.32,520694.56,15380.06,404777.92,114.9,100421.68,57877.99,38193.69,4350
Orlando,Weekly,3/1/2020,conventional,1.17,571494.88,224677.71,14431.05,85,332301.12,130228.37,201552.75,520
Philadelphia,Weekly,3/1/2020,conventional,1.36,503242,56419.7,246705.84,407.9,199708.56,160133.07,34601.12,4974.37
Phoenix/Tucson,Weekly,3/1/2020,conventional,0.86,1250204.03,326982.5,200713.28,3835.07,718673.18,206532.74,510538.5,1601.94
Pittsburgh,Weekly,3/1/2020,conventional,1.29,121116.14,39636.59,11177.17,219.86,70082.52,31521.7,38554.15,6.67
Plains,Weekly,3/1/2020,conventional,1.04,2383692.29,1069605.43,361007.85,2622.74,950456.27,737526.46,144051.58,68878.23
Portland,Weekly,3/1/2020,conventional,1.11,851700.06,63440.65,113070.13,2327.67,672144.65,392936.55,257344.51,21863.59
Raleigh/Greensboro,Weekly,3/1/2020,conventional,0.97,464392.37,168602.34,119899.08,6455.13,169435.82,94861.94,74558.47,15.41
Richmond/Norfolk,Weekly,3/1/2020,conventional,0.93,355770.05,100971.09,75267.8,1691.94,177839.22,136018.59,35299.98,6520.65
Roanoke,Weekly,3/1/2020,conventional,0.97,213167.69,68631.24,22537.63,70.37,121928.45,89528.27,30556.85,1843.33
Sacramento,Weekly,3/1/2020,conventional,1.43,477107.03,152254.73,154648.99,2015.55,168187.76,106682.93,57123.75,4381.08
San Diego,Weekly,3/1/2020,conventional,1.17,538974.56,96379.25,34966.23,8787.2,398841.88,207511.34,189394.4,1936.14
San Francisco,Weekly,3/1/2020,conventional,1.49,899029.84,252117.22,208161.87,5321.33,433429.42,157136.94,268472.17,7820.31
Seattle,Weekly,3/1/2020,conventional,1.43,678618.25,73668.47,85846.41,240.58,518862.79,231444.78,286944.09,473.92
South Carolina,Weekly,3/1/2020,conventional,1.03,534011.35,210677.49,64227.57,2390.79,256715.5,178141.5,78512.01,61.99
South Central,Weekly,3/1/2020,conventional,0.81,7902476.49,3290891.28,860994.45,62525.62,3688065.14,2010209.47,1596068.92,81786.75
Southeast,Weekly,3/1/2020,conventional,1.11,5611206.41,2348692.48,261524.08,4509.03,2996480.82,1528115.88,1458705.54,9659.4
Spokane,Weekly,3/1/2020,conventional,1.19,120302.61,18495.93,13733.57,17.34,88055.77,46613.08,41318.02,124.67
St. Louis,Weekly,3/1/2020,conventional,1.17,212834.86,98248.39,10692.77,221.81,103671.89,87826.37,1692.35,14153.17
Syracuse,Weekly,3/1/2020,conventional,1.23,91358.58,8192.33,38240.11,31.79,44894.35,37128.81,6193.32,1572.22
Tampa,Weekly,3/1/2020,conventional,1.08,632365.45,231508.42,18931.53,198,381727.5,126434.75,254893.87,398.88
Total U.S.,Weekly,3/1/2020,conventional,1.09,43500148.34,12625971.13,7765151.23,455851.22,22652392.02,12883794.01,9241498.09,527099.92
West,Weekly,3/1/2020,conventional,1.05,7808965.65,1601301.53,967666.99,28351.04,5210863.35,2153346.63,2962584.4,94932.32
West Tex/New Mexico,Weekly,3/1/2020,conventional,0.92,933699.68,385516.65,85037.32,32472.12,430673.59,246368.51,182246.55,2058.53
Albany,Weekly,3/1/2020,organic,1.38,4880.39,347.91,599.05,0,3933.43,1581.33,2352.1,0
Atlanta,Weekly,3/1/2020,organic,1.44,22305.48,132.73,3428.33,0,18744.42,13934.7,4809.72,0
Baltimore/Washington,Weekly,3/1/2020,organic,1.42,46399.1,248.76,3950.91,2.63,42196.8,39550.62,2646.18,0
Boise,Weekly,3/1/2020,organic,1.77,3739.3,1.35,904.19,2.7,2831.06,1357.06,1474,0
Boston,Weekly,3/1/2020,organic,1.71,31018.67,83.69,1640.39,0,29294.59,23909.27,5385.32,0
Buffalo/Rochester,Weekly,3/1/2020,organic,1.33,12933.47,487.64,133.09,0,12312.74,9177.16,3135.58,0
California,Weekly,3/1/2020,organic,1.8,411243.28,35344.08,34667.82,147.3,341084.08,279101.08,61983,0
Charlotte,Weekly,3/1/2020,organic,1.45,17077.99,157.69,3615.94,49.47,13254.89,5046.8,8208.09,0
Chicago,Weekly,3/1/2020,organic,1.55,41140.89,542.73,4229.54,0,36368.62,34087.67,2280.95,0
Cincinnati/Dayton,Weekly,3/1/2020,organic,1.02,22817.64,84.9,2244.96,0,20487.78,17368.09,3119.69,0
Columbus,Weekly,3/1/2020,organic,0.96,24512.19,397.98,993.96,0,23120.25,20727.81,2392.44,0
Dallas/Ft. Worth,Weekly,3/1/2020,organic,1.29,34709.05,5129.07,152.32,523.87,28903.79,28357.13,546.66,0
Denver,Weekly,3/1/2020,organic,1.53,36173.87,3189.47,1139.33,3.57,31841.5,31687.99,153.51,0
Detroit,Weekly,3/1/2020,organic,1.5,39176.25,352.16,5109.86,0,33693.36,11880.11,21813.25,0
Grand Rapids,Weekly,3/1/2020,organic,1.03,14686.38,14.43,1710.84,0,12961.11,12914.63,46.48,0
Great Lakes,Weekly,3/1/2020,organic,1.18,292516.93,4189.08,22453.68,0,265798.47,220371.29,45427.18,0
Harrisburg/Scranton,Weekly,3/1/2020,organic,1.2,19304.62,899.8,462.63,0,17942.19,17119.77,822.42,0
Hartford/Springfield,Weekly,3/1/2020,organic,1.9,17989.41,1161.04,10037.04,0,6791.33,6449.18,342.15,0
Houston,Weekly,3/1/2020,organic,1.54,21679.1,4161.37,22.76,0,17494.97,17494.97,0,0
Indianapolis,Weekly,3/1/2020,organic,0.9,20510.45,216.5,718.68,0,19575.27,16300.24,3275.03,0
Jacksonville,Weekly,3/1/2020,organic,1.15,4751.65,66.76,209.28,0,4475.61,4333.09,142.52,0
Las Vegas,Weekly,3/1/2020,organic,1.65,10183.79,479.51,566.45,0,9137.83,7533.42,1604.41,0
Los Angeles,Weekly,3/1/2020,organic,1.69,194378.69,11812.7,9640.45,57.83,172867.71,135303.17,37564.54,0
Louisville,Weekly,3/1/2020,organic,1.07,6775.42,0,671.99,0,6103.43,5209.31,894.12,0
Miami/Ft. Lauderdale,Weekly,3/1/2020,organic,1.11,15801.26,358.78,4.94,0,15437.54,15434.21,3.33,0
Midsouth,Weekly,3/1/2020,organic,1.39,204712.2,2911.9,25436.48,342.28,176008.05,145042.19,30965.86,0
Nashville,Weekly,3/1/2020,organic,1.21,10550.17,16.1,1068.93,0,9465.14,7133.58,2331.56,0
New Orleans/Mobile,Weekly,3/1/2020,organic,1.21,8956.38,590.34,0,0,8366.04,4295.62,4070.42,0
New York,Weekly,3/1/2020,organic,1.69,199760.8,65926.99,82654.98,14.32,51164.51,43870.9,7291.62,1.99
Northeast,Weekly,3/1/2020,organic,1.6,410999.2,82822.88,108071.99,15.77,220088.56,174999.87,45086.94,1.75
Northern New England,Weekly,3/1/2020,organic,1.51,31973.47,57,823.74,0,31092.73,14207.29,16885.44,0
Orlando,Weekly,3/1/2020,organic,1.11,11946.16,102.29,4.44,0,11839.43,11839.43,0,0
Philadelphia,Weekly,3/1/2020,organic,1.63,39399.25,8514.45,7265.53,0,23619.27,19283.78,4335.49,0
Phoenix/Tucson,Weekly,3/1/2020,organic,1.55,23341.49,1957.32,903.64,0,20480.53,17094.2,3386.33,0
Pittsburgh,Weekly,3/1/2020,organic,1.18,17996.96,1586.69,14.64,0,16395.63,16395.63,0,0
Plains,Weekly,3/1/2020,organic,1.48,74180.97,7561.47,7934.3,15.22,58669.98,43782.09,14887.89,0
Portland,Weekly,3/1/2020,organic,1.89,37873.79,162.33,4665.38,0,33046.08,14433.38,18610.76,1.94
Raleigh/Greensboro,Weekly,3/1/2020,organic,1.87,17160.4,971.38,3368.06,168.03,12652.93,8926.56,3726.37,0
Richmond/Norfolk,Weekly,3/1/2020,organic,1.49,14209.82,22.24,1489.14,7.96,12690.48,11194.92,1495.56,0
Roanoke,Weekly,3/1/2020,organic,1.15,11590.04,18.63,991.01,0,10580.4,8132.54,2447.86,0
Sacramento,Weekly,3/1/2020,organic,1.79,20461.82,4134.53,3816.38,1.41,12509.5,12498.51,10.99,0
San Diego,Weekly,3/1/2020,organic,1.82,42440.33,985.34,2306.07,39.97,39108.95,23858.71,15250.24,0
San Francisco,Weekly,3/1/2020,organic,2.03,73398.21,10379.2,8187.55,19.88,54811.58,54743.6,67.98,0
Seattle,Weekly,3/1/2020,organic,1.98,69189.79,430.04,8819.27,6.69,59933.79,15950.13,43888.46,95.2
South Carolina,Weekly,3/1/2020,organic,1.59,19426.55,517.45,3015.82,83.71,15809.57,10928.95,4880.62,0
South Central,Weekly,3/1/2020,organic,1.4,146643.71,19074.76,2281.93,4561.46,120725.56,113021.13,7704.43,0
Southeast,Weekly,3/1/2020,organic,1.26,146398.75,1946.88,10369.85,87.83,133994.19,117661.25,16332.94,0
Spokane,Weekly,3/1/2020,organic,1.82,5159.48,21.68,544.07,0,4593.73,2442.99,2150.74,0
St. Louis,Weekly,3/1/2020,organic,1.98,12498.11,1535.21,3281.47,7.14,7674.29,2863.61,4810.68,0
Syracuse,Weekly,3/1/2020,organic,1.46,4043.96,163.55,215.54,1.4,3663.47,2489.36,1174.11,0
Tampa,Weekly,3/1/2020,organic,1.09,14394.89,116.75,1,0,14277.14,14270.47,6.67,0
Total U.S.,Weekly,3/1/2020,organic,1.54,1982156.27,166117.62,235288.29,6603.79,1574057.38,1263531.12,310425.88,100.38
West,Weekly,3/1/2020,organic,1.74,295461.25,12266.57,24072.25,1433.93,257688.5,169552.23,88037.64,98.63
West Tex/New Mexico,Weekly,3/1/2020,organic,1.6,24587.08,591.97,848.22,3262.91,19883.98,19006.73,877.25,0
Albany,Weekly,3/8/2020,conventional,1.03,156156.46,7738.14,115974.31,113.97,32330.04,18802.68,12114.03,1413.33
Atlanta,Weekly,3/8/2020,conventional,1.06,802451.89,333544.07,29009.96,82.1,439815.76,389723.33,49769.47,322.96
Baltimore/Washington,Weekly,3/8/2020,conventional,1.42,1004867.97,128890.88,434938.66,2158.42,438880.01,279422.51,156397.5,3060
Boise,Weekly,3/8/2020,conventional,1.12,135166.3,38848.44,5125.17,1141.66,90051.03,62427.91,17172.83,10450.29
Boston,Weekly,3/8/2020,conventional,1.35,786793.48,20458.13,457686.35,582.12,308066.88,190601.57,47918.67,69546.64
Buffalo/Rochester,Weekly,3/8/2020,conventional,1.2,221595.57,14346.51,63386.8,2119.57,141742.69,103483.24,36075,2184.45
California,Weekly,3/8/2020,conventional,1.27,6460193.8,2125581.08,712281.29,79617.12,3542714.31,1902812.56,1486025.06,153876.69
Charlotte,Weekly,3/8/2020,conventional,1.18,327171.64,141525.33,53879.53,2276.81,129489.97,99615.34,29653.22,221.41
Chicago,Weekly,3/8/2020,conventional,1.33,743084.2,105388.49,162754.97,33136.67,441804.07,244421.95,197261.34,120.78
Cincinnati/Dayton,Weekly,3/8/2020,conventional,0.99,374686.02,77613.76,10162.18,8230.85,278679.23,252199.66,22039.95,4439.62
Columbus,Weekly,3/8/2020,conventional,0.92,285307.29,69205.88,10609.96,1680.46,203810.99,174408.14,28742.93,659.92
Dallas/Ft. Worth,Weekly,3/8/2020,conventional,0.88,1643955.23,729944.6,144162.63,5157.33,764690.67,518641.28,245819.12,230.27
Denver,Weekly,3/8/2020,conventional,1,1197552.97,192429.64,162590.87,2239.96,840292.5,323418.92,503383.96,13489.62
Detroit,Weekly,3/8/2020,conventional,1.05,586137.82,82269.44,33918.72,35122.85,434826.81,404626.46,25859.9,4340.45
Grand Rapids,Weekly,3/8/2020,conventional,1.24,219214.21,6666.44,44634.13,37398.01,130515.63,115592.9,6849.52,8073.21
Great Lakes,Weekly,3/8/2020,conventional,1.07,4682886.34,846548.45,561846.83,186704.4,3087786.66,2380881.68,667829.67,39075.31
Harrisburg/Scranton,Weekly,3/8/2020,conventional,1.1,381910.08,116573.24,129289.99,147.3,135899.55,116240.97,15751.91,3906.67
Hartford/Springfield,Weekly,3/8/2020,conventional,1.46,391865.28,11300.57,292261.96,272.6,88030.15,64610.6,21465.11,1954.44
Houston,Weekly,3/8/2020,conventional,0.8,1399514.72,614140.16,150349.49,352.84,634672.23,157160.03,468211.01,9301.19
Indianapolis,Weekly,3/8/2020,conventional,1.08,273900.06,72333.59,25686.3,3355.25,172524.92,163699.42,7594.91,1230.59
Jacksonville,Weekly,3/8/2020,conventional,1.26,231188.73,83313.89,6048.3,87.33,141739.21,47169.28,94519.94,49.99
Las Vegas,Weekly,3/8/2020,conventional,1.1,341073.99,66299.38,28133.96,32.09,246608.56,109707.79,136867.44,33.33
Los Angeles,Weekly,3/8/2020,conventional,1.27,2797533.92,920850.56,58054.49,58246.06,1760382.81,1126193.01,576526.13,57663.67
Louisville,Weekly,3/8/2020,conventional,0.98,132024.05,35667.23,8479.11,96.82,87780.89,68444.99,19335.9,0
Miami/Ft. Lauderdale,Weekly,3/8/2020,conventional,1.26,987532.15,401680.88,31975.7,327.52,553548.05,195633.2,357478.19,436.66
Midsouth,Weekly,3/8/2020,conventional,1.14,4197082.81,1304672,896001.13,11213.87,1985195.81,1444506.62,525557.52,15131.67
Nashville,Weekly,3/8/2020,conventional,0.96,302142.88,110161.39,6091.57,15.18,185874.74,162528.75,23238,107.99
New Orleans/Mobile,Weekly,3/8/2020,conventional,1,329544.08,170302.14,10557.61,5,148679.33,97012.74,44129.47,7537.12
New York,Weekly,3/8/2020,conventional,1.54,1912334.11,57865.72,1078473.14,3886.71,772108.54,591365.38,172738.01,8005.15
Northeast,Weekly,3/8/2020,conventional,1.35,5826681.87,457615.83,3117199.76,10962.69,2240903.59,1577755.83,531944.02,131203.74
Northern New England,Weekly,3/8/2020,conventional,1.19,615963.16,27345.57,415842,89.66,172685.93,97303.38,37634.72,37747.83
Orlando,Weekly,3/8/2020,conventional,1.05,561732.1,281823.57,13816.29,102,265990.24,132003.57,133322.5,664.17
Philadelphia,Weekly,3/8/2020,conventional,1.32,574369.97,74037.47,265366.87,279.42,234686.21,186757.73,43851.02,4077.46
Phoenix/Tucson,Weekly,3/8/2020,conventional,0.89,1251852.91,343241.91,180775.75,3961.87,723873.38,220298.35,502739.74,835.29
Pittsburgh,Weekly,3/8/2020,conventional,1.03,168327.36,57194.8,9618.09,386.12,101128.35,26789.31,74339.04,0
